,community,nextclade_pango,week_appeared
0,Alpine,BA.2.12.1,19
1,Alpine,BA.4,24
2,Alpine,BA.5,23
3,Bonita,BA.2.12.1,19
4,Bonita,BA.5,23
5,Boulevard,BA.2.12.1,21
6,Campo,BA.2,17
7,Campo,BA.2.12.1,18
8,Cardiff by the Sea,BA.2.12.1,18
9,Carlsbad,BA.2,9
10,Chula Vista,BA.2,8
11,Chula Vista,BA.2.12.1,18
12,Chula Vista,BA.4,17
13,Chula Vista,BA.5,19
14,Coronado,BA.2,18
15,Coronado,BA.2.12.1,18
16,Dulzura,BA.5,23
17,El Cajon,BA.2,8
18,El Cajon,BA.2.12.1,17
19,El Cajon,BA.4,19
20,El Cajon,BA.5,18
21,Encinitas,BA.2,9
22,Encinitas,BA.2.12.1,18
23,Escondido,BA.2,10
24,Escondido,BA.2.12.1,18
25,Escondido,BA.4,23
26,Escondido,BA.5,23
27,Fallbrook,BA.2.12.1,24
28,Imperial Beach,BA.2,10
29,Imperial Beach,BA.2.12.1,17
30,Imperial Beach,BA.4,23
31,Imperial Beach,BA.5,23
32,Jacumba,BA.2.12.1,23
33,Jamul,BA.2,18
34,Jamul,BA.2.12.1,18
35,La Jolla,BA.2,11
36,La Jolla,BA.2.12.1,19
37,La Mesa,BA.2,8
38,La Mesa,BA.2.12.1,12
39,La Mesa,BA.4,18
40,La Mesa,BA.5,23
41,Lakeside,BA.2,18
42,Lakeside,BA.2.12.1,17
43,Lakeside,BA.4,23
44,Lakeside,BA.5,21
45,Lemon Grove,BA.2,11
46,Lemon Grove,BA.2.12.1,17
47,Lemon Grove,BA.5,18
48,National City,BA.2,15
49,National City,BA.2.12.1,18
50,National City,BA.4,23
51,National City,BA.5,23
52,Oceanside,BA.2,11
53,Oceanside,BA.2.12.1,20
54,Pala,BA.2.12.1,24
55,Palomar Mountain,BA.2.12.1,23
56,Pauma Valley,BA.2.12.1,23
57,Poway,BA.2,10
58,Poway,BA.2.12.1,18
59,Poway,BA.4,23
60,Ramona,BA.2,11
61,Ramona,BA.2.12.1,18
62,Ramona,BA.5,23
63,Rancho Santa Fe,BA.2.12.1,18
64,Rancho Santa Fe,BA.4,25
65,San Diego,BA.2,1
66,San Diego,BA.2.12.1,11
67,San Diego,BA.4,19
68,San Diego,BA.5,19
69,San Marcos,BA.2,21
70,San Marcos,BA.2.12.1,19
71,San Marcos,BA.5,23
72,San Ysidro,BA.2,9
73,San Ysidro,BA.2.12.1,20
74,San Ysidro,BA.4,23
75,San Ysidro,BA.5,24
76,Santa Ysabel,BA.2.12.1,19
77,Santee,BA.2,1
78,Santee,BA.2.12.1,17
79,Santee,BA.4,19
80,Santee,BA.5,24
81,Spring Valley,BA.2,9
82,Spring Valley,BA.2.12.1,18
83,Spring Valley,BA.4,24
84,Spring Valley,BA.5,23
85,Valley Center,BA.2.12.1,20
86,Valley Center,BA.5,21
87,Vista,BA.2,9
88,Vista,BA.2.12.1,19
89,Warner Springs,BA.5,24
