week,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,rate(positive_test),rate(cumulative_positive_test)
1,325501,9298939,89702,644683,0.275581,0.069329
2,292907,9591846,79815,724498,0.272493,0.075533
3,249248,9841094,64786,789284,0.259926,0.080203
4,200912,10042006,41432,830716,0.206220,0.082724
5,160913,10202919,22053,852769,0.137049,0.083581
6,133873,10336792,13087,865856,0.097757,0.083764
7,113039,10449831,7834,873690,0.069304,0.083608
8,94172,10544003,4798,878488,0.050949,0.083316
9,97145,10641148,3568,882056,0.036729,0.082891
10,97164,10738312,2655,884711,0.027325,0.082388
11,89066,10827378,2082,886793,0.023376,0.081903
12,74364,10901742,1739,888532,0.023385,0.081504
13,66289,10968031,1726,890258,0.026038,0.081168
14,73368,11041399,1993,892251,0.027164,0.080810
15,68979,11110378,2060,894311,0.029864,0.080493
16,72109,11182487,2824,897135,0.039163,0.080227
17,71425,11253912,3751,900886,0.052517,0.080051
18,85303,11339215,5134,906020,0.060185,0.079901
19,91292,11430507,6343,912363,0.069480,0.079818
20,101837,11532344,8943,921306,0.087817,0.079889
21,100642,11632986,10177,931483,0.101121,0.080073
22,89800,11722786,10320,941803,0.114922,0.080340
23,85847,11808633,10976,952779,0.127855,0.080685
24,80731,11889364,10378,963157,0.128550,0.081010
25,77728,11967092,10747,973904,0.138264,0.081382
26,77009,12044101,12147,986051,0.157735,0.081870
27,73390,12117491,12647,998698,0.172326,0.082418
28,80015,12197506,14495,1013193,0.181154,0.083066
29,69780,12267286,11491,1024684,0.164675,0.083530
30,3723,12271009,612,1025296,0.164384,0.083554
