zipcode,community
91901,Alpine
91902,Bonita
91905,Boulevard
91906,Campo
91910,Chula Vista
91911,Chula Vista
92028,Fallbrook
92029,Escondido
92036,Julian
92058,Camp Pendleton
92058,Oceanside
91913,Chula Vista
91914,Chula Vista
91915,Chula Vista
91916,Descanso
91934,Jacumba
91935,Jamul
91941,La Mesa
91942,La Mesa
91945,Lemon Grove
91917,Dulzura
91931,Guatay
91932,Imperial Beach
91950,National City
91962,Pine Valley
91963,Potrero
91977,Spring Valley
91978,Spring Valley
91980,Tecate
92003,Bonsall
92027,Escondido
92004,Borrego Springs
92007,Cardiff by the Sea
92008,Carlsbad
92009,Carlsbad
92010,Carlsbad
92011,Carlsbad
92014,Del Mar
92019,El Cajon
92020,El Cajon
92021,El Cajon
92024,Encinitas
92025,Escondido
92026,Escondido
92037,La Jolla
92040,Lakeside
92054,Oceanside
92056,Oceanside
92057,Oceanside
92059,Pala
92060,Palomar Mountain
92061,Pauma Valley
92064,Poway
92065,Ramona
92083,Vista
92084,Vista
92086,Warner Springs
92091,Rancho Santa Fe
92067,Rancho Santa Fe
92069,San Marcos
92070,Santa Ysabel
92071,Santee
92075,Solana Beach
92078,San Marcos
92081,Vista
92082,Valley Center
92093,La Jolla
92101,San Diego
92102,San Diego
92103,San Diego
92104,San Diego
92123,San Diego
92124,San Diego
92105,San Diego
92106,San Diego
92107,San Diego
92108,San Diego
92109,San Diego
92110,San Diego
92111,San Diego
92113,San Diego
92114,San Diego
92115,San Diego
92116,San Diego
92117,San Diego
92118,Coronado
92119,San Diego
92120,San Diego
92121,San Diego
92139,San Diego
92122,San Diego
92154,San Diego
92126,San Diego
92127,San Diego
92128,San Diego
92129,San Diego
92130,San Diego
92131,San Diego
92173,San Ysidro
92182,San Diego
